Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
IP-DK09,m.renda,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB21,i.colombo,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK23,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK32,d.dadamo,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB33,a.caldi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,6,10.83 GB
IP-NB31,a.girardi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK25,f.santocchi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB04,s.ferrante,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK28,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB02,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK31,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
ip-nb34,a.servi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK19,team.leader,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,5,20.56 MB
win10client2,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,4,34.0 KB
IP-NB31,a.girardi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,4,7.71 GB
IP-NB25,a.braia,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,4,3.91 GB
IP-DK15,flex,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,4,8.43 MB
IP-DK20,e.respizzi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,4,10.89 GB
win10client1,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,4,34.0 KB
IP-DK19,team.leader,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,4,4.04 GB
IP-CV01,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,11.71 GB
IP-DK24,s.donati,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,38.31 GB
IP-NB11,a.iozzolino,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,31.74 GB
IP-NB02,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,3,1.13 MB
IP-NB04,s.ferrante,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,1018.4 MB
IP-NB24,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,8.11 GB
IP-NB30,as.aledi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,7.89 GB
IP-NB05,s.mainenti,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,3,8.18 GB
IP-DK13,bgboard2,IMBALLAGGI,Audio,"mp3, m4a",ALL,3,16.57 MB
IP-DK04,BGBoard1700,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,2,0.59 KB
IP-DK07,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,2.47 GB
IP-DK22,a.settino,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,3.73 GB
IP-NB02,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,2.53 GB
